public_path	node_kind	term_hint	action_hint	source_internal	transform_kind	null_policy	status	notes
xr.orderReference.salesOrderId	value	BT-14	map_value			omit_if_missing	todo	
xr.precedingInvoices[]	list	BG-3	repeat_or_group			omit_if_missing	todo	
xr.precedingInvoices[].id	value	BT-25	map_value			omit_if_missing	todo	
xr.precedingInvoices[].issueDate	value	BT-26	map_value			omit_if_missing	todo	
xr.invoiceObjectReference	object	BT-18	compose_object			omit_if_missing	todo	
xr.invoiceObjectReference.id	value	BT-18	map_value			omit_if_missing	todo	
xr.invoiceObjectReference.schemeId	value	BT-18 schemeId	map_value			omit_if_missing	todo	
xr.seller	object	BG-4, BG-5, BG-6	compose_object			omit_if_missing	todo	
xr.seller.name	value	BT-27	map_value			omit_if_missing	todo	
xr.seller.tradeName	value	BT-28	map_value			omit_if_missing	todo	
xr.seller.endpoint	object	BT-34	compose_object			omit_if_missing	todo	
xr.seller.endpoint.value	value	BT-34	map_value			omit_if_missing	todo	
xr.seller.endpoint.schemeId	value	BT-34 schemeId	map_value			omit_if_missing	todo	
xr.seller.identifiers[]	list	BT-29	repeat_or_group			omit_if_missing	todo	
xr.seller.identifiers[].value	value	BT-29	map_value			omit_if_missing	todo	
xr.seller.identifiers[].schemeId	value	BT-29 schemeId	map_value			omit_if_missing	todo	
xr.seller.sepaCreditorId	value	BT-90 when represented on seller	map_value			omit_if_missing	todo	
xr.seller.vatIdentifier	value	BT-31	map_value			omit_if_missing	todo	
xr.seller.taxIdentifier	value	BT-32	map_value			omit_if_missing	todo	
xr.seller.legalRegistrationId	value	BT-30	map_value			omit_if_missing	todo	
xr.seller.legalRegistrationIdSchemeId	value	BT-30 schemeId	map_value			omit_if_missing	todo	
xr.seller.legalForm	value	BT-33	map_value			omit_if_missing	todo	
xr.seller.address	object	BG-5	compose_object			omit_if_missing	todo	
xr.seller.address.street	value	BT-35	map_value			omit_if_missing	todo	
xr.seller.address.additionalStreet	value	BT-36	map_value			omit_if_missing	todo	
xr.seller.address.addressLine	value	BT-162	map_value			omit_if_missing	todo	
xr.seller.address.city	value	BT-37	map_value			omit_if_missing	todo	
xr.seller.address.postalCode	value	BT-38	map_value			omit_if_missing	todo	
xr.seller.address.countrySubdivision	value	BT-39	map_value			omit_if_missing	todo	
xr.seller.address.countryCode	value	BT-40	map_value			omit_if_missing	todo	
xr.seller.contact	object	BG-6	compose_object			omit_if_missing	todo	
xr.seller.contact.name	value	BT-41	map_value			omit_if_missing	todo	
xr.seller.contact.phone	value	BT-42	map_value			omit_if_missing	todo	
xr.seller.contact.email	value	BT-43	map_value			omit_if_missing	todo	
xr.buyer	object	BG-7, BG-8, BG-9	compose_object			omit_if_missing	todo	
xr.buyer.name	value	BT-44	map_value			omit_if_missing	todo	
xr.buyer.tradeName	value	BT-45	map_value			omit_if_missing	todo	
xr.buyer.endpoint	object	BT-49	compose_object			omit_if_missing	todo	
xr.buyer.endpoint.value	value	BT-49	map_value			omit_if_missing	todo	
xr.buyer.endpoint.schemeId	value	BT-49 schemeId	map_value			omit_if_missing	todo	
xr.buyer.identifiers[]	list	BT-46	repeat_or_group			omit_if_missing	todo	
xr.buyer.identifiers[].value	value	BT-46	map_value			omit_if_missing	todo	
xr.buyer.identifiers[].schemeId	value	BT-46 schemeId	map_value			omit_if_missing	todo	
xr.buyer.vatIdentifier	value	BT-48	map_value			omit_if_missing	todo	
xr.buyer.legalRegistrationId	value	BT-47	map_value			omit_if_missing	todo	
xr.buyer.legalRegistrationIdSchemeId	value	BT-47 schemeId	map_value			omit_if_missing	todo	
xr.buyer.address	object	BG-8	compose_object			omit_if_missing	todo	
xr.buyer.address.street	value	BT-50	map_value			omit_if_missing	todo	
xr.buyer.address.additionalStreet	value	BT-51	map_value			omit_if_missing	todo	
xr.buyer.address.addressLine	value	BT-163	map_value			omit_if_missing	todo	
xr.buyer.address.city	value	BT-52	map_value			omit_if_missing	todo	
xr.buyer.address.postalCode	value	BT-53	map_value			omit_if_missing	todo	
xr.buyer.address.countrySubdivision	value	BT-54	map_value			omit_if_missing	todo	
xr.buyer.address.countryCode	value	BT-55	map_value			omit_if_missing	todo	
xr.buyer.contact	object	BG-9	compose_object			omit_if_missing	todo	
xr.buyer.contact.name	value	BT-56	map_value			omit_if_missing	todo	
xr.buyer.contact.phone	value	BT-57	map_value			omit_if_missing	todo	
xr.buyer.contact.email	value	BT-58	map_value			omit_if_missing	todo	
xr.payee	object	BG-10	compose_object			omit_if_missing	todo	
xr.payee.name	value	BT-59	map_value			omit_if_missing	todo	
xr.payee.identifiers[]	list	BT-60	repeat_or_group			omit_if_missing	todo	
xr.payee.identifiers[].value	value	BT-60	map_value			omit_if_missing	todo	
xr.payee.identifiers[].schemeId	value	BT-60 schemeId	map_value			omit_if_missing	todo	
xr.payee.sepaCreditorId	value	BT-90 when represented on payee	map_value			omit_if_missing	todo	
xr.payee.legalRegistrationId	value	BT-61	map_value			omit_if_missing	todo	
xr.payee.legalRegistrationIdSchemeId	value	BT-61 schemeId	map_value			omit_if_missing	todo	
xr.taxRepresentative	object	BG-11, BG-12	compose_object			omit_if_missing	todo	
xr.taxRepresentative.name	value	BT-62	map_value			omit_if_missing	todo	
xr.taxRepresentative.vatIdentifier	value	BT-63	map_value			omit_if_missing	todo	
xr.taxRepresentative.address	object	BG-12	compose_object			omit_if_missing	todo	
xr.taxRepresentative.address.street	value	BT-64	map_value			omit_if_missing	todo	
xr.taxRepresentative.address.additionalStreet	value	BT-65	map_value			omit_if_missing	todo	
xr.taxRepresentative.address.addressLine	value	BT-164	map_value			omit_if_missing	todo	
xr.taxRepresentative.address.city	value	BT-66	map_value			omit_if_missing	todo	
xr.taxRepresentative.address.postalCode	value	BT-67	map_value			omit_if_missing	todo	
xr.taxRepresentative.address.countrySubdivision	value	BT-68	map_value			omit_if_missing	todo	
